[MR_69_2]: 运行成功, 输出: 1

[MR_64_2]: 运行成功, 输出: 1

[MR_44_1]: 运行成功, 输出: 1

[MR_50_1]: 运行成功, 输出: 1

[MR_28_1]: 运行成功, 输出: 1

[MR_6_1]: 运行成功, 输出: 1

[MR_17_1]: 运行成功, 输出: 1

[MR_69_1]: 运行成功, 输出: 1

[MR_73_1]: 运行成功, 输出: 1

[MR_83_1]: 运行成功, 输出: 1

[MR_39_1]: 运行成功, 输出: 1

[MR_71_1]: 运行成功, 输出: 1

[MR_74_1]: 运行成功, 输出: 1

[MR_56_1]: 运行成功, 输出: 1

[MR_46_1]: 运行成功, 输出: 1

[MR_57_1]: 运行成功, 输出: 1

[MR_83_2]: 运行成功, 输出: 1

[MR_78_1]: 运行成功, 输出: 1

[MR_37_1]: 运行成功, 输出: 1

[MR_42_1]: 运行成功, 输出: 1

[MR_2_2]: 运行成功, 输出: 1

[MR_55_1]: 运行成功, 输出: 1

[MR_31_1]: 运行成功, 输出: 1

[MR_77_1]: 运行成功, 输出: 1

[MR_21_1]: 运行成功, 输出: 1

[MR_74_2]: 运行成功, 输出: 1

[MR_29_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_47_1]: 运行成功, 输出: 1

[MR_40_1]: 运行成功, 输出: 1

[MR_13_1]: 运行成功, 输出: 1

[MR_25_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_58_1]: 运行成功, 输出: 1

[MR_65_1]: 运行成功, 输出: 1

[MR_65_2]: 运行成功, 输出: 1

[MR_39_2]: 运行成功, 输出: 1

[MR_64_1]: 运行成功, 输出: 1

[MR_82_1]: 运行成功, 输出: 1

[MR_43_1]: 运行成功, 输出: 1

[MR_70_1]: 运行成功, 输出: 1

[MR_66_1]: 运行成功, 输出: 1

[MR_10_1]: 运行成功, 输出: 1

[MR_73_2]: 运行成功, 输出: 1

[MR_20_1]: 运行成功, 输出: 1

[MR_14_1]: 运行成功, 输出: 1

[MR_37_2]: 运行成功, 输出: 1

[MR_11_1]: 运行成功, 输出: 1

[MR_55_2]: 运行成功, 输出: 1

[MR_67_1]: 运行成功, 输出: 1

[MR_30_1]: 运行成功, 输出: 1

[MR_38_1]: 运行成功, 输出: 1

[MR_51_1]: 运行成功, 输出: 1
