[MR_44_1]: 运行成功, 输出: 1

[MR_22_1]: 运行成功, 输出: 1

[MR_6_1]: 运行成功, 输出: 1

[MR_53_1]: 运行成功, 输出: 1

[MR_1_2]: 运行成功, 输出: 1

[MR_7_1]: 运行成功, 输出: 1

[MR_2_2]: 运行成功, 输出: 1

[MR_21_1]: 运行成功, 输出: 1

[MR_19_2]: 运行成功, 输出: 1

[MR_29_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_47_1]: 运行成功, 输出: 1

[MR_29_2]: 运行成功, 输出: 1

[MR_34_1]: 运行成功, 输出: 1

[MR_35_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_18_1]: 运行成功, 输出: 1

[MR_19_1]: 运行成功, 输出: 1

[MR_44_2]: 运行成功, 输出: 1

[MR_43_1]: 运行成功, 输出: 1

[MR_10_1]: 运行成功, 输出: 1

[MR_30_2]: 运行成功, 输出: 1

[MR_23_1]: 运行成功, 输出: 1

[MR_43_2]: 运行成功, 输出: 1

[MR_30_1]: 运行成功, 输出: 1
