[MR_28_1]: 运行成功, 输出: 1

[MR_6_1]: 运行成功, 输出: 1

[MR_17_1]: 运行成功, 输出: 1

[MR_54_1]: 运行成功, 输出: 1

[MR_39_1]: 运行成功, 输出: 1

[MR_1_2]: 运行成功, 输出: 1

[MR_17_2]: 运行成功, 输出: 1

[MR_20_2]: 运行成功, 输出: 1

[MR_27_1]: 运行成功, 输出: 1

[MR_37_1]: 运行成功, 输出: 1

[MR_2_2]: 运行成功, 输出: 1

[MR_55_1]: 运行成功, 输出: 1

[MR_19_2]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_40_1]: 运行成功, 输出: 1

[MR_13_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_12_1]: 运行成功, 输出: 1

[MR_33_1]: 运行成功, 输出: 1

[MR_19_1]: 运行成功, 输出: 1

[MR_20_1]: 运行成功, 输出: 1

[MR_33_2]: 运行成功, 输出: 1

[MR_32_1]: 运行成功, 输出: 1

[MR_32_2]: 运行成功, 输出: 1
