[MR_44_1]: 运行成功, 输出: 1

[MR_24_1]: 运行成功, 输出: 1

[MR_41_1]: 运行成功, 输出: 1

[MR_81_1]: 运行成功, 输出: 1

[MR_28_1]: 运行成功, 输出: 1

[MR_6_1]: 运行成功, 输出: 1

[MR_69_1]: 运行成功, 输出: 1

[MR_63_1]: 运行成功, 输出: 1

[MR_73_1]: 运行成功, 输出: 1

[MR_53_1]: 运行成功, 输出: 1

[MR_83_1]: 运行成功, 输出: 1

[MR_39_1]: 运行成功, 输出: 1

[MR_71_1]: 运行成功, 输出: 1

[MR_49_1]: 运行成功, 输出: 1

[MR_74_1]: 运行成功, 输出: 1

[MR_84_1]: 运行成功, 输出: 1

[MR_57_1]: 运行成功, 输出: 1

[MR_27_1]: 运行成功, 输出: 1

[MR_78_1]: 运行成功, 输出: 1

[MR_68_1]: 运行成功, 输出: 1

[MR_31_1]: 运行成功, 输出: 1

[MR_45_1]: 运行成功, 输出: 1

[MR_29_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_40_1]: 运行成功, 输出: 1

[MR_26_1]: 运行成功, 输出: 1

[MR_15_1]: 运行成功, 输出: 1

[MR_52_1]: 运行成功, 输出: 1

[MR_25_1]: 运行成功, 输出: 1

[MR_35_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_58_1]: 运行成功, 输出: 1

[MR_59_1]: 运行成功, 输出: 1

[MR_82_1]: 运行成功, 输出: 1

[MR_70_1]: 运行成功, 输出: 1

[MR_66_1]: 运行成功, 输出: 1

[MR_10_1]: 运行成功, 输出: 1

[MR_72_1]: 运行成功, 输出: 1

[MR_20_1]: 运行成功, 输出: 1

[MR_14_1]: 运行成功, 输出: 1

[MR_23_1]: 运行成功, 输出: 1

[MR_67_1]: 运行成功, 输出: 1

[MR_9_1]: 运行成功, 输出: 1

[MR_30_1]: 运行成功, 输出: 1

[MR_38_1]: 运行成功, 输出: 1

[MR_16_1]: 运行成功, 输出: 1
