[MR_44_1]: 运行成功, 输出: 1

[MR_22_1]: 运行成功, 输出: 1

[MR_24_1]: 运行成功, 输出: 1

[MR_50_1]: 运行成功, 输出: 1

[MR_28_1]: 运行成功, 输出: 1

[MR_6_1]: 运行成功, 输出: 1

[MR_17_1]: 运行成功, 输出: 1

[MR_54_1]: 运行成功, 输出: 1

[MR_53_1]: 运行成功, 输出: 1

[MR_49_1]: 运行成功, 输出: 0

[MR_1_2]: 运行成功, 输出: 1

[MR_27_1]: 运行成功, 输出: 1

[MR_7_1]: 运行成功, 输出: 1

[MR_2_2]: 运行成功, 输出: 1

[MR_21_1]: 运行成功, 输出: 1

[MR_49_2]: 运行成功, 输出: 1

[MR_29_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_26_1]: 运行成功, 输出: 1

[MR_29_2]: 运行成功, 输出: 1

[MR_48_1]: 运行成功, 输出: 1

[MR_28_2]: 运行成功, 输出: 1

[MR_34_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_22_2]: 运行成功, 输出: 1

[MR_33_1]: 运行成功, 输出: 1

[MR_43_1]: 运行成功, 输出: 1

[MR_23_1]: 运行成功, 输出: 1

[MR_51_1]: 运行成功, 输出: 1

[MR_16_1]: 运行成功, 输出: 1
