[MR_5_1]: 运行成功, 输出: 1

[MR_22_1]: 运行成功, 输出: 1

[MR_50_1]: 运行成功, 输出: 1

[MR_54_1]: 运行成功, 输出: 1

[MR_39_1]: 运行成功, 输出: 1

[MR_49_1]: 运行成功, 输出: 1

[MR_46_1]: 运行成功, 输出: 1

[MR_27_1]: 运行成功, 输出: 1

[MR_7_1]: 运行成功, 输出: 1

[MR_55_1]: 运行成功, 输出: 1

[MR_31_1]: 运行成功, 输出: 1

[MR_21_1]: 运行成功, 输出: 1

[MR_29_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_3_1]: 运行成功, 输出: 1

[MR_47_1]: 运行成功, 输出: 1

[MR_26_1]: 运行成功, 输出: 1

[MR_15_1]: 运行成功, 输出: 1

[MR_52_1]: 运行成功, 输出: 1

[MR_25_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_18_1]: 运行成功, 输出: 1

[MR_19_1]: 运行成功, 输出: 1

[MR_43_1]: 运行成功, 输出: 1

[MR_14_1]: 运行成功, 输出: 1

[MR_32_1]: 运行成功, 输出: 1

[MR_11_1]: 运行成功, 输出: 1

[MR_4_1]: 运行成功, 输出: 1

[MR_23_1]: 运行成功, 输出: 1

[MR_51_1]: 运行成功, 输出: 1

[MR_16_1]: 运行成功, 输出: 1
