[MR_28_1]: 运行成功, 输出: 1

[MR_6_1]: 运行成功, 输出: 1

[MR_39_1]: 运行成功, 输出: 1

[MR_34_2]: 运行成功, 输出: 1

[MR_27_1]: 运行成功, 输出: 1

[MR_36_1]: 运行成功, 输出: 1

[MR_7_1]: 运行成功, 输出: 1

[MR_31_1]: 运行成功, 输出: 1

[MR_8_1]: 运行成功, 输出: 1

[MR_29_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_3_1]: 运行成功, 输出: 1

[MR_26_1]: 运行成功, 输出: 1

[MR_34_1]: 运行成功, 输出: 1

[MR_15_1]: 运行成功, 输出: 1

[MR_33_1]: 运行成功, 输出: 1

[MR_18_1]: 运行成功, 输出: 1

[MR_32_1]: 运行成功, 输出: 1

[MR_11_1]: 运行成功, 输出: 1

[MR_4_1]: 运行成功, 输出: 1

[MR_23_1]: 运行成功, 输出: 1

[MR_30_1]: 运行成功, 输出: 1

[MR_38_1]: 运行成功, 输出: 1

[MR_16_1]: 运行成功, 输出: 1
