[MR_5_1]: 运行成功, 输出: 1

[MR_22_1]: 运行成功, 输出: 1

[MR_24_1]: 运行成功, 输出: 1

[MR_28_1]: 运行成功, 输出: 1

[MR_6_1]: 运行成功, 输出: 1

[MR_1_2]: 运行成功, 输出: 1

[MR_27_1]: 运行成功, 输出: 1

[MR_2_2]: 运行成功, 输出: 1

[MR_21_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_3_1]: 运行成功, 输出: 1

[MR_26_1]: 运行成功, 输出: 1

[MR_13_1]: 运行成功, 输出: 1

[MR_15_1]: 运行成功, 输出: 1

[MR_25_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_12_1]: 运行成功, 输出: 1

[MR_3_2]: 运行成功, 输出: 1

[MR_19_1]: 运行成功, 输出: 1

[MR_10_1]: 运行成功, 输出: 1

[MR_20_1]: 运行成功, 输出: 1

[MR_14_1]: 运行成功, 输出: 1

[MR_10_2]: 运行成功, 输出: 1

[MR_11_1]: 运行成功, 输出: 1

[MR_4_1]: 运行成功, 输出: 1

[MR_23_1]: 运行成功, 输出: 1

[MR_4_2]: 运行成功, 输出: 1
