[MR_22_1]: 运行成功, 输出: 1

[MR_81_1]: 运行成功, 输出: 1

[MR_28_1]: 运行成功, 输出: 1

[MR_6_1]: 运行成功, 输出: 1

[MR_17_1]: 运行成功, 输出: 1

[MR_53_1]: 运行成功, 输出: 1

[MR_36_1]: 运行成功, 输出: 1

[MR_37_1]: 运行成功, 输出: 1

[MR_2_2]: 运行成功, 输出: 1

[MR_21_1]: 运行成功, 输出: 1

[MR_29_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_3_1]: 运行成功, 输出: 1

[MR_26_1]: 运行成功, 输出: 1

[MR_34_1]: 运行成功, 输出: 1

[MR_25_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_65_1]: 运行成功, 输出: 1

[MR_64_1]: 运行成功, 输出: 1

[MR_18_1]: 运行成功, 输出: 1

[MR_19_1]: 运行成功, 输出: 1

[MR_66_1]: 运行成功, 输出: 1

[MR_72_1]: 运行成功, 输出: 1

[MR_20_1]: 运行成功, 输出: 1

[MR_4_1]: 运行成功, 输出: 1

[MR_62_1]: 运行成功, 输出: 1

[MR_9_1]: 运行成功, 输出: 1

[MR_38_1]: 运行成功, 输出: 1

[MR_16_1]: 运行成功, 输出: 1
