文件相对路径	[Different]数	[Similar]数	[Same]数	✗总数	○总数	[Same]时✗数	[Same]时○数	[Similar]时✗数	[Similar]时○数	[Similar]+[Same]时✗数	[Similar]+[Same]时○数	[Different]时✗数	[Different]时○数
add_two_array_values\mutant1\mutant_final_report.txt	29	1	4	26	8	1	3	0	1	1	4	25	4
add_two_array_values\mutant2\mutant_final_report.txt	38	3	1	30	12	0	1	0	3	0	4	30	8
add_values\mutant1\mutant_final_report.txt	11	1	11	8	15	0	11	0	1	0	12	8	3
add_values\mutant2\mutant_final_report.txt	14	0	7	13	8	0	7	0	0	0	7	13	1
array_calc1\mutant1\mutant_final_report.txt	12	1	3	5	11	0	3	0	1	0	4	5	7
array_calc1\mutant2\mutant_final_report.txt	46	8	2	32	24	0	2	1	7	1	9	31	15
array_copy\mutant4\mutant_final_report.txt	25	0	0	25	0	0	0	0	0	0	0	25	0
average\mutant1\mutant_final_report.txt	9	1	12	5	17	0	12	0	1	0	13	5	4
average\mutant2\mutant_final_report.txt	17	5	5	17	10	0	5	0	5	0	10	17	0
bubble\mutant1\mutant_final_report.txt	51	3	3	44	13	1	2	0	3	1	5	43	8
bubble\mutant2\mutant_final_report.txt	17	7	4	3	25	1	3	0	7	1	10	2	15
calculateAbsoluteDifferences\mutant1\mutant_final_report.txt	5	5	2	3	9	0	2	0	5	0	7	3	2
calculateAbsoluteDifferences\mutant2\mutant_final_report.txt	4	5	3	0	12	0	3	0	5	0	8	0	4
calculateDifferences\mutant1\mutant_final_report.txt	29	0	0	13	16	0	0	0	0	0	0	13	16
clip\mutant1\mutant_final_report.txt	75	2	4	75	6	0	4	0	2	0	6	75	0
clip\mutant2\mutant_final_report.txt	27	27	9	14	49	0	9	0	27	0	36	14	13
computeCanberraDistance\mutant1\mutant_final_report.txt	59	1	0	60	0	0	0	1	0	1	0	59	0
computeCanberraDistance\mutant2\mutant_final_report.txt	52	2	0	54	0	0	0	2	0	2	0	52	0
computeDividedDifference1\mutant1\mutant_final_report.txt	41	3	1	38	7	0	1	0	3	0	4	38	3
computeDividedDifference1\mutant2\mutant_final_report.txt	54	0	1	51	4	1	0	0	0	1	0	50	4
cosineDistance\mutant1\mutant_final_report.txt	57	4	0	56	5	0	0	0	4	0	4	56	1
cosineDistance\mutant2\mutant_final_report.txt	11	0	0	8	3	0	0	0	0	0	0	8	3
dec\mutant5\mutant_final_report.txt	30	7	4	19	22	0	4	0	7	0	11	19	11
dec_array\mutant1\mutant_final_report.txt	45	5	6	31	25	0	6	0	5	0	11	31	14
dec_array\mutant2\mutant_final_report.txt	74	0	0	74	0	0	0	0	0	0	0	74	0
distanceInf\mutant1\mutant_final_report.txt	6	0	0	6	0	0	0	0	0	0	0	6	0
distanceInf\mutant2\mutant_final_report.txt	52	0	0	52	0	0	0	0	0	0	0	52	0
dot_product\mutant1\mutant_final_report.txt	52	2	0	52	2	0	0	0	2	0	2	52	0
dot_product\mutant2\mutant_final_report.txt	0	0	4	0	4	0	4	0	0	0	4	0	0
durbinWatson\mutant1\mutant_final_report.txt	3	11	2	1	15	0	2	0	11	0	13	1	2
durbinWatson\mutant2\mutant_final_report.txt	4	7	5	0	16	0	5	0	7	0	12	0	4
ebeAdd\mutant1\mutant_final_report.txt	85	14	2	71	30	0	2	0	14	0	16	71	14
ebeAdd\mutant2\mutant_final_report.txt	44	14	7	30	35	0	7	0	14	0	21	30	14
ebeDivide\mutant1\mutant_final_report.txt	64	0	0	64	0	0	0	0	0	0	0	64	0
ebeDivide\mutant2\mutant_final_report.txt	50	6	0	50	6	0	0	0	6	0	6	50	0
ebeMultiply\mutant1\mutant_final_report.txt	55	0	0	55	0	0	0	0	0	0	0	55	0
ebeMultiply\mutant2\mutant_final_report.txt	28	2	4	28	6	0	4	0	2	0	6	28	0
ebeSubtract\mutant1\mutant_final_report.txt	27	8	6	12	29	0	6	0	8	0	14	12	15
ebeSubtract\mutant2\mutant_final_report.txt	91	0	0	91	0	0	0	0	0	0	0	91	0
elementwise_max\mutant1\mutant_final_report.txt	12	12	5	4	25	0	5	2	10	2	15	2	10
elementwise_max\mutant2\mutant_final_report.txt	54	0	0	54	0	0	0	0	0	0	0	54	0
elementwise_min\mutant1\mutant_final_report.txt	1	26	5	2	30	0	5	1	25	1	30	1	0
elementwise_min\mutant2\mutant_final_report.txt	73	12	4	43	46	0	4	0	12	0	16	43	30
entropy\mutant1\mutant_final_report.txt	20	0	9	17	12	0	9	0	0	0	9	17	3
euc_dist\mutant1\mutant_final_report.txt	52	0	0	0	52	0	0	0	0	0	0	0	52
euc_dist\mutant2\mutant_final_report.txt	26	0	4	14	16	0	4	0	0	0	4	14	12
evaluateHoners\mutant1\mutant_final_report.txt	32	1	2	33	2	1	1	0	1	1	2	32	0
evaluateHoners\mutant2\mutant_final_report.txt	39	1	3	40	3	1	2	0	1	1	3	39	0
evaluateNewton\mutant2\mutant_final_report.txt	9	3	2	12	2	1	1	2	1	3	2	9	0
find_diff\mutant1\mutant_final_report.txt	110	0	0	110	0	0	0	0	0	0	0	110	0
find_diff\mutant2\mutant_final_report.txt	38	1	0	35	4	0	0	0	1	0	1	35	3
find_magnitude\mutant1\mutant_final_report.txt	22	0	7	22	7	0	7	0	0	0	7	22	0
find_magnitude\mutant2\mutant_final_report.txt	20	1	7	20	8	0	7	0	1	0	8	20	0
