[MR_24_1]: 运行成功, 输出: 1

[MR_6_2]: 运行成功, 输出: 1

[MR_6_1]: 运行成功, 输出: 1

[MR_39_1]: 运行成功, 输出: 1

[MR_1_2]: 运行成功, 输出: 1

[MR_8_2]: 运行成功, 输出: 1

[MR_7_1]: 运行成功, 输出: 1

[MR_2_2]: 运行成功, 输出: 1

[MR_31_2]: 运行成功, 输出: 1

[MR_31_1]: 运行成功, 输出: 1

[MR_26_2]: 运行成功, 输出: 1

[MR_8_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_25_2]: 运行成功, 输出: 1

[MR_40_1]: 运行成功, 输出: 1

[MR_26_1]: 运行成功, 输出: 1

[MR_15_1]: 运行成功, 输出: 1

[MR_25_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_33_1]: 运行成功, 输出: 1

[MR_19_1]: 运行成功, 输出: 1

[MR_7_2]: 运行成功, 输出: 1

[MR_43_1]: 运行成功, 输出: 1

[MR_14_1]: 运行成功, 输出: 1

[MR_33_2]: 运行成功, 输出: 1

[MR_32_1]: 运行成功, 输出: 1

[MR_9_2]: 运行成功, 输出: 1

[MR_32_2]: 运行成功, 输出: 1

[MR_23_1]: 运行成功, 输出: 1

[MR_9_1]: 运行成功, 输出: 1

[MR_30_1]: 运行成功, 输出: 1

[MR_38_1]: 运行成功, 输出: 1

[MR_16_1]: 运行成功, 输出: 1
