[MR_5_1]: 运行成功, 输出: 1

[MR_22_1]: 运行成功, 输出: 1

[MR_28_1]: 运行成功, 输出: 1

[MR_54_1]: 运行成功, 输出: 1

[MR_53_1]: 运行成功, 输出: 1

[MR_46_1]: 运行成功, 输出: 1

[MR_37_1]: 运行成功, 输出: 1

[MR_45_1]: 运行成功, 输出: 1

[MR_29_1]: 运行成功, 输出: 1

[MR_40_1]: 运行成功, 输出: 1

[MR_13_1]: 运行成功, 输出: 1

[MR_58_1]: 运行成功, 输出: 1

[MR_65_1]: 运行成功, 输出: 1

[MR_59_1]: 运行成功, 输出: 1

[MR_18_1]: 运行成功, 输出: 1

[MR_19_1]: 运行成功, 输出: 1

[MR_82_1]: 运行成功, 输出: 1

[MR_66_1]: 运行成功, 输出: 1

[MR_10_1]: 运行成功, 输出: 1

[MR_75_1]: 运行成功, 输出: 1

[MR_4_1]: 运行成功, 输出: 1

[MR_9_1]: 运行成功, 输出: 1

[MR_30_1]: 运行成功, 输出: 1

[MR_38_1]: 运行成功, 输出: 1
