[MR_36_2]: 运行成功, 输出: 1

[MR_41_1]: 运行成功, 输出: 1

[MR_28_1]: 运行成功, 输出: 1

[MR_27_2]: 运行成功, 输出: 1

[MR_54_1]: 运行成功, 输出: 1

[MR_39_1]: 运行成功, 输出: 1

[MR_1_2]: 运行成功, 输出: 1

[MR_35_2]: 运行成功, 输出: 1

[MR_8_2]: 运行成功, 输出: 1

[MR_46_1]: 运行成功, 输出: 1

[MR_27_1]: 运行成功, 输出: 1

[MR_36_1]: 运行成功, 输出: 1

[MR_42_1]: 运行成功, 输出: 1

[MR_2_2]: 运行成功, 输出: 1

[MR_55_1]: 运行成功, 输出: 1

[MR_41_2]: 运行成功, 输出: 1

[MR_21_1]: 运行成功, 输出: 1

[MR_8_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_40_1]: 运行成功, 输出: 1

[MR_26_1]: 运行成功, 输出: 1

[MR_28_2]: 运行成功, 输出: 1

[MR_35_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_12_1]: 运行成功, 输出: 1

[MR_33_1]: 运行成功, 输出: 1

[MR_64_1]: 运行成功, 输出: 1

[MR_43_1]: 运行成功, 输出: 1

[MR_40_2]: 运行成功, 输出: 1

[MR_66_1]: 运行成功, 输出: 1

[MR_10_1]: 运行成功, 输出: 1

[MR_62_2]: 运行成功, 输出: 1

[MR_42_2]: 运行成功, 输出: 1

[MR_20_1]: 运行成功, 输出: 1

[MR_32_1]: 运行成功, 输出: 1

[MR_11_1]: 运行成功, 输出: 1

[MR_9_2]: 运行成功, 输出: 1

[MR_43_2]: 运行成功, 输出: 1

[MR_62_1]: 运行成功, 输出: 1

[MR_67_1]: 运行成功, 输出: 1

[MR_9_1]: 运行成功, 输出: 1

[MR_30_1]: 运行成功, 输出: 1
