[MR_22_1]: 运行成功, 输出: 1

[MR_6_2]: 运行成功, 输出: 1

[MR_6_1]: 运行成功, 输出: 0

[MR_39_1]: 运行成功, 输出: 1

[MR_1_2]: 运行成功, 输出: 1

[MR_46_1]: 运行成功, 输出: 1

[MR_36_1]: 运行成功, 输出: 1

[MR_7_1]: 运行成功, 输出: 1

[MR_2_2]: 运行成功, 输出: 1

[MR_21_1]: 运行成功, 输出: 1

[MR_45_1]: 运行成功, 输出: 1

[MR_26_2]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_26_1]: 运行成功, 输出: 1

[MR_13_1]: 运行成功, 输出: 1

[MR_15_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_12_1]: 运行成功, 输出: 1

[MR_39_2]: 运行成功, 输出: 1

[MR_19_1]: 运行成功, 输出: 1

[MR_7_2]: 运行成功, 输出: 1

[MR_43_1]: 运行成功, 输出: 1

[MR_38_2]: 运行成功, 输出: 1

[MR_23_1]: 运行成功, 输出: 1

[MR_9_1]: 运行成功, 输出: 1

[MR_38_1]: 运行成功, 输出: 1
