[MR_36_2]: 运行成功, 输出: 1

[MR_50_1]: 运行成功, 输出: 1

[MR_6_1]: 运行成功, 输出: 1

[MR_17_1]: 运行成功, 输出: 1

[MR_21_2]: 运行成功, 输出: 1

[MR_1_2]: 运行成功, 输出: 1

[MR_35_2]: 运行成功, 输出: 1

[MR_46_1]: 运行成功, 输出: 1

[MR_36_1]: 运行成功, 输出: 0

[MR_7_1]: 运行成功, 输出: 1

[MR_42_1]: 运行成功, 输出: 1

[MR_2_3]: 运行成功, 输出: 1

[MR_2_2]: 运行成功, 输出: 1

[MR_31_2]: 运行成功, 输出: 1

[MR_31_1]: 运行成功, 输出: 1

[MR_21_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_1_3]: 运行成功, 输出: 1

[MR_13_1]: 运行成功, 输出: 1

[MR_35_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_43_1]: 运行成功, 输出: 1

[MR_31_3]: 运行成功, 输出: 1

[MR_14_1]: 运行成功, 输出: 1

[MR_30_3]: 运行成功, 输出: 1

[MR_30_2]: 运行成功, 输出: 1

[MR_30_1]: 运行成功, 输出: 1
