[MR_24_1]: 运行成功, 输出: 1

[MR_50_1]: 运行成功, 输出: 1

[MR_28_1]: 运行成功, 输出: 1

[MR_27_2]: 运行成功, 输出: 1

[MR_49_1]: 运行成功, 输出: 1

[MR_24_2]: 运行成功, 输出: 1

[MR_1_2]: 运行成功, 输出: 1

[MR_8_2]: 运行成功, 输出: 1

[MR_34_2]: 运行成功, 输出: 1

[MR_27_1]: 运行成功, 输出: 1

[MR_37_1]: 运行成功, 输出: 1

[MR_7_1]: 运行成功, 输出: 1

[MR_2_2]: 运行成功, 输出: 1

[MR_50_2]: 运行成功, 输出: 1

[MR_45_1]: 运行成功, 输出: 1

[MR_49_2]: 运行成功, 输出: 1

[MR_8_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_23_2]: 运行成功, 输出: 1

[MR_26_1]: 运行成功, 输出: 1

[MR_28_2]: 运行成功, 输出: 1

[MR_34_1]: 运行成功, 输出: 1

[MR_52_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_12_1]: 运行成功, 输出: 1

[MR_33_1]: 运行成功, 输出: 1

[MR_19_1]: 运行成功, 输出: 1

[MR_11_1]: 运行成功, 输出: 1

[MR_23_1]: 运行成功, 输出: 1

[MR_38_1]: 运行成功, 输出: 1
