[MR_5_1]: 运行成功, 输出: 1

[MR_22_1]: 运行成功, 输出: 1

[MR_50_1]: 运行成功, 输出: 1

[MR_6_1]: 运行成功, 输出: 1

[MR_17_1]: 运行成功, 输出: 1

[MR_53_1]: 运行成功, 输出: 1

[MR_39_1]: 运行成功, 输出: 1

[MR_49_1]: 运行成功, 输出: 1

[MR_56_1]: 运行成功, 输出: 1

[MR_46_1]: 运行成功, 输出: 1

[MR_36_1]: 运行成功, 输出: 1

[MR_37_1]: 运行成功, 输出: 1

[MR_7_1]: 运行成功, 输出: 1

[MR_42_1]: 运行成功, 输出: 1

[MR_55_1]: 运行成功, 输出: 1

[MR_31_1]: 运行成功, 输出: 1

[MR_45_1]: 运行成功, 输出: 1

[MR_8_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_47_1]: 运行成功, 输出: 1

[MR_26_1]: 运行成功, 输出: 1

[MR_48_1]: 运行成功, 输出: 1

[MR_15_1]: 运行成功, 输出: 1

[MR_52_1]: 运行成功, 输出: 0

[MR_25_1]: 运行成功, 输出: 1

[MR_35_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_12_1]: 运行成功, 输出: 1

[MR_18_1]: 运行成功, 输出: 1

[MR_19_1]: 运行成功, 输出: 1

[MR_43_1]: 运行成功, 输出: 1

[MR_20_1]: 运行成功, 输出: 1

[MR_32_1]: 运行成功, 输出: 1

[MR_23_1]: 运行成功, 输出: 1

[MR_38_1]: 运行成功, 输出: 1

[MR_16_1]: 运行成功, 输出: 1
