[MR_44_1]: 运行成功, 输出: 1

[MR_22_1]: 运行成功, 输出: 1

[MR_24_1]: 运行成功, 输出: 1

[MR_41_1]: 运行成功, 输出: 1

[MR_54_1]: 运行成功, 输出: 1

[MR_53_1]: 运行成功, 输出: 1

[MR_46_1]: 运行成功, 输出: 1

[MR_42_1]: 运行成功, 输出: 1

[MR_31_2]: 运行成功, 输出: 1

[MR_31_1]: 运行成功, 输出: 1

[MR_21_1]: 运行成功, 输出: 1

[MR_45_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_3_1]: 运行成功, 输出: 1

[MR_13_1]: 运行成功, 输出: 1

[MR_34_1]: 运行成功, 输出: 1

[MR_15_1]: 运行成功, 输出: 1

[MR_52_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_12_1]: 运行成功, 输出: 1

[MR_33_1]: 运行成功, 输出: 1

[MR_43_1]: 运行成功, 输出: 1

[MR_14_1]: 运行成功, 输出: 1

[MR_32_1]: 运行成功, 输出: 1

[MR_11_1]: 运行成功, 输出: 1

[MR_4_1]: 运行成功, 输出: 1

[MR_23_1]: 运行成功, 输出: 1

[MR_51_1]: 运行成功, 输出: 1

[MR_16_1]: 运行成功, 输出: 1
