[MR_44_1]: 运行成功, 输出: 1

[MR_24_1]: 运行成功, 输出: 1

[MR_28_1]: 运行成功, 输出: 1

[MR_6_1]: 运行成功, 输出: 1

[MR_17_1]: 运行成功, 输出: 1

[MR_1_2]: 运行成功, 输出: 1

[MR_8_2]: 运行成功, 输出: 1

[MR_36_1]: 运行成功, 输出: 1

[MR_37_1]: 运行成功, 输出: 1

[MR_7_1]: 运行成功, 输出: 1

[MR_2_2]: 运行成功, 输出: 1

[MR_31_2]: 运行成功, 输出: 1

[MR_31_1]: 运行成功, 输出: 1

[MR_21_1]: 运行成功, 输出: 1

[MR_8_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_60_1]: 运行成功, 输出: 1

[MR_13_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_58_1]: 运行成功, 输出: 1

[MR_7_2]: 运行成功, 输出: 1

[MR_43_1]: 运行成功, 输出: 1

[MR_14_1]: 运行成功, 输出: 1

[MR_37_2]: 运行成功, 输出: 1

[MR_32_1]: 运行成功, 输出: 1

[MR_38_2]: 运行成功, 输出: 1

[MR_32_2]: 运行成功, 输出: 1

[MR_23_1]: 运行成功, 输出: 1

[MR_30_1]: 运行成功, 输出: 1

[MR_38_1]: 运行成功, 输出: 1

[MR_51_1]: 运行成功, 输出: 1
