[MR_44_1]: 运行成功, 输出: 1

[MR_41_1]: 运行成功, 输出: 1

[MR_50_1]: 运行成功, 输出: 1

[MR_28_1]: 运行成功, 输出: 1

[MR_39_1]: 运行成功, 输出: 1

[MR_46_1]: 运行成功, 输出: 1

[MR_36_1]: 运行成功, 输出: 1

[MR_37_1]: 运行成功, 输出: 1

[MR_42_1]: 运行成功, 输出: 1

[MR_31_1]: 运行成功, 输出: 1

[MR_45_1]: 运行成功, 输出: 1

[MR_8_1]: 运行成功, 输出: 1

[MR_29_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_3_1]: 运行成功, 输出: 1

[MR_40_1]: 运行成功, 输出: 1

[MR_13_1]: 运行成功, 输出: 1

[MR_34_1]: 运行成功, 输出: 1

[MR_52_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_12_1]: 运行成功, 输出: 1

[MR_33_1]: 运行成功, 输出: 1

[MR_19_1]: 运行成功, 输出: 1

[MR_43_1]: 运行成功, 输出: 1

[MR_10_1]: 运行成功, 输出: 1

[MR_32_1]: 运行成功, 输出: 1

[MR_11_1]: 运行成功, 输出: 1

[MR_23_1]: 运行成功, 输出: 1

[MR_9_1]: 运行成功, 输出: 1

[MR_30_1]: 运行成功, 输出: 1

[MR_38_1]: 运行成功, 输出: 1

[MR_51_1]: 运行成功, 输出: 1
