[MR_6_2]: 运行成功, 输出: 1

[MR_6_1]: 运行成功, 输出: 0

[MR_17_1]: 运行成功, 输出: 1

[MR_1_2]: 运行成功, 输出: 1

[MR_8_2]: 运行成功, 输出: 1

[MR_27_1]: 运行成功, 输出: 1

[MR_2_2]: 运行成功, 输出: 1

[MR_8_1]: 运行成功, 输出: 1

[MR_29_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_3_1]: 运行成功, 输出: 1

[MR_26_1]: 运行成功, 输出: 1

[MR_15_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_12_1]: 运行成功, 输出: 1

[MR_18_1]: 运行成功, 输出: 1

[MR_19_1]: 运行成功, 输出: 1

[MR_20_1]: 运行成功, 输出: 1

[MR_14_1]: 运行成功, 输出: 1

[MR_11_1]: 运行成功, 输出: 1

[MR_9_2]: 运行成功, 输出: 1

[MR_9_1]: 运行成功, 输出: 1

[MR_16_1]: 运行成功, 输出: 1
