[MR_61_1]: 运行成功, 输出: 1

[MR_44_1]: 运行成功, 输出: 1

[MR_5_1]: 运行成功, 输出: 1

[MR_22_1]: 运行成功, 输出: 1

[MR_41_1]: 运行成功, 输出: 1

[MR_50_1]: 运行成功, 输出: 1

[MR_6_1]: 运行成功, 输出: 1

[MR_54_1]: 运行成功, 输出: 1

[MR_53_1]: 运行成功, 输出: 1

[MR_1_2]: 运行成功, 输出: 1

[MR_36_1]: 运行成功, 输出: 1

[MR_37_1]: 运行成功, 输出: 1

[MR_7_1]: 运行成功, 输出: 1

[MR_21_1]: 运行成功, 输出: 1

[MR_45_1]: 运行成功, 输出: 1

[MR_8_1]: 运行成功, 输出: 1

[MR_1_1]: 运行成功, 输出: 1

[MR_3_1]: 运行成功, 输出: 1

[MR_60_1]: 运行成功, 输出: 1

[MR_48_1]: 运行成功, 输出: 1

[MR_13_1]: 运行成功, 输出: 1

[MR_34_1]: 运行成功, 输出: 1

[MR_52_1]: 运行成功, 输出: 1

[MR_2_1]: 运行成功, 输出: 1

[MR_12_1]: 运行成功, 输出: 1

[MR_59_1]: 运行成功, 输出: 1

[MR_18_1]: 运行成功, 输出: 1

[MR_43_1]: 运行成功, 输出: 1

[MR_10_1]: 运行成功, 输出: 1

[MR_14_1]: 运行成功, 输出: 1

[MR_32_1]: 运行成功, 输出: 1

[MR_11_1]: 运行成功, 输出: 1

[MR_4_1]: 运行成功, 输出: 1

[MR_9_1]: 运行成功, 输出: 1

[MR_30_1]: 运行成功, 输出: 1

[MR_38_1]: 运行成功, 输出: 1
