=== Global Aggregated Results ===
Total Mutants Generated: 126
Total Mutants Compiled: 60
Total Mutants Detected_All: 24
Global Mutation Score: 24/60 (40.00%)
All Detected Mutant IDs: 18, 28, 29, 32, 39, 40, 43, 55, 56, 58, 66, 67, 73, 87, 88, 92, 96, 106, 112, 117, 120, 121, 122, 126

=== Individual T Folder Scores ===
Folder [MR_12_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_13_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_1_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_21_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_22_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_22_2]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_23_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_24_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_26_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_27_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_28_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_29_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_2_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_35_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_36_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_39_1]: 24/60 (40.00%) | Avg Violation Rate: 0.3247 | Avg Violation Rate(No Zero): 0.8118
Folder [MR_40_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_48_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_49_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_49_2]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_50_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_51_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_53_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_54_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_8_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
Folder [MR_9_1]: 19/60 (31.67%) | Avg Violation Rate: 0.3046 | Avg Violation Rate(No Zero): 0.9619
