=== Global Aggregated Results ===
Total Mutants Generated: 46
Total Mutants Compiled: 24
Total Mutants Detected_All: 16
Global Mutation Score: 16/24 (66.67%)
All Detected Mutant IDs: 5, 6, 7, 10, 14, 17, 19, 22, 23, 29, 35, 37, 39, 43, 44, 46

=== Individual T Folder Scores ===
Folder [MR_14_1]: 10/24 (41.67%) | Avg Violation Rate: 0.4167 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_15_1]: 10/24 (41.67%) | Avg Violation Rate: 0.4167 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_16_1]: 10/24 (41.67%) | Avg Violation Rate: 0.4167 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_17_1]: 10/24 (41.67%) | Avg Violation Rate: 0.4167 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_18_1]: 9/24 (37.50%) | Avg Violation Rate: 0.3750 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_19_1]: 7/24 (29.17%) | Avg Violation Rate: 0.2917 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_1_1]: 7/24 (29.17%) | Avg Violation Rate: 0.2903 | Avg Violation Rate(No Zero): 0.9952
Folder [MR_24_1]: 8/24 (33.33%) | Avg Violation Rate: 0.3333 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_25_1]: 7/24 (29.17%) | Avg Violation Rate: 0.2917 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_26_1]: 10/24 (41.67%) | Avg Violation Rate: 0.4167 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_28_1]: 7/24 (29.17%) | Avg Violation Rate: 0.2903 | Avg Violation Rate(No Zero): 0.9952
Folder [MR_3_1]: 7/24 (29.17%) | Avg Violation Rate: 0.2903 | Avg Violation Rate(No Zero): 0.9952
Folder [MR_4_1]: 7/24 (29.17%) | Avg Violation Rate: 0.2903 | Avg Violation Rate(No Zero): 0.9952
Folder [MR_7_1]: 7/24 (29.17%) | Avg Violation Rate: 0.2903 | Avg Violation Rate(No Zero): 0.9952
