=== Global Aggregated Results ===
Total Mutants Generated: 140
Total Mutants Compiled: 72
Total Mutants Detected_All: 46
Global Mutation Score: 46/72 (63.89%)
All Detected Mutant IDs: 1, 3, 7, 9, 10, 11, 14, 17, 23, 24, 35, 36, 39, 42, 44, 47, 51, 52, 54, 55, 59, 62, 64, 70, 72, 79, 80, 81, 88, 92, 94, 97, 99, 100, 102, 107, 109, 112, 116, 117, 121, 123, 131, 133, 137, 140

=== Individual T Folder Scores ===
Folder [MR_10_1]: 20/72 (27.78%) | Avg Violation Rate: 0.2778 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_10_2]: 20/72 (27.78%) | Avg Violation Rate: 0.2778 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_11_1]: 20/72 (27.78%) | Avg Violation Rate: 0.2778 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_11_2]: 20/72 (27.78%) | Avg Violation Rate: 0.2778 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_12_1]: 20/72 (27.78%) | Avg Violation Rate: 0.2778 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_13_1]: 20/72 (27.78%) | Avg Violation Rate: 0.2778 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_14_1]: 20/72 (27.78%) | Avg Violation Rate: 0.2778 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_14_2]: 20/72 (27.78%) | Avg Violation Rate: 0.2778 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_15_1]: 20/72 (27.78%) | Avg Violation Rate: 0.2778 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_15_2]: 20/72 (27.78%) | Avg Violation Rate: 0.2778 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_1_1]: 32/72 (44.44%) | Avg Violation Rate: 0.4444 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_22_1]: 16/72 (22.22%) | Avg Violation Rate: 0.1954 | Avg Violation Rate(No Zero): 0.8792
Folder [MR_23_1]: 31/72 (43.06%) | Avg Violation Rate: 0.4171 | Avg Violation Rate(No Zero): 0.9688
Folder [MR_26_1]: 20/72 (27.78%) | Avg Violation Rate: 0.2778 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_26_2]: 20/72 (27.78%) | Avg Violation Rate: 0.2778 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_29_1]: 20/72 (27.78%) | Avg Violation Rate: 0.2375 | Avg Violation Rate(No Zero): 0.8550
Folder [MR_2_1]: 32/72 (44.44%) | Avg Violation Rate: 0.4444 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_4_1]: 29/72 (40.28%) | Avg Violation Rate: 0.4028 | Avg Violation Rate(No Zero): 1.0000
Folder [MR_4_2]: 16/72 (22.22%) | Avg Violation Rate: 0.1819 | Avg Violation Rate(No Zero): 0.8187
Folder [MR_9_1]: 20/72 (27.78%) | Avg Violation Rate: 0.2778 | Avg Violation Rate(No Zero): 1.0000
